ID,Name,Position,Organisation,Linkedin-Link,Webseite,Category,Description
21,Judith Häberli,Chief Growth Officer & Co‑Founder,Urban Connect,https://www.linkedin.com/in/judith-h%C3%A4berli/,https://urban-connect.com/,"Start-ups, Scale-ups & Katalysatoren","Mut & Pioniergeist: 
Die Gründung von Urban Connect zeugt von unternehmerischem Mut. Bemerkenswert ist ein Wendepunkt zu Beginn: Eigentlich wollten Häberli und ihr Mitgründer ein Café eröffnen – doch ein zufälliger Umstand (die Übernahme eines ehemaligen Velogeschäfts) lenkte sie in Richtung Mobilität. Diese flexible, mutige Neuausrichtung zeigt ihren Pioniergeist. Auch ihr persönlicher Werdegang – von einer ersten Karriere in der Schauspielerei hin zur Mobilitätsexpertin – unterstreicht ihren unkonventionellen, visionären Antrieb.
Innovationsgrad: 
Urban Connect revolutioniert die Firmenmobilität durch multimodale Angebote und digitale Integration. Mit neuartigen Bausteinen wie Mobilitätsbudgets und digitalem Parkraummanagement schafft Häberli Lösungen, die zuvor in dieser Form nicht verfügbar waren.
Umsetzungskraft & Wirkung: 
Häberli hat aus einer Startup-Idee ein wachstumsstarkes Unternehmen aufgebaut, das greifbare Ergebnisse liefert. Ihr Plattformmodell wird bereits von Dutzenden Firmen eingesetzt und erzielt unmittelbare Wirkung – z. B. weniger Firmenwagen und damit weniger Verkehrsbelastung und Emissionen. Die schnelle Skalierung und Auszeichnungen wie der EY Award belegen ihre Fähigkeit, Visionen in die Praxis umzusetzen.
Relevanz für die Mobilitätswende: 
Betriebliche Mobilität ist ein Schlüsselfaktor der Verkehrswende. Häberlis Ansatz, Mitarbeitenden attraktive Alternativen zum eigenen Auto zu bieten, leistet einen wichtigen Beitrag zur Dekarbonisierung des Verkehrs im DACH-Raum. Indem Unternehmen als Treiber der Veränderung auftreten, können ihre Lösungen im großen Maßstab zur CO₂-Reduktion beitragen.
Vorbildfunktion & Sichtbarkeit: 
Als junge weibliche Führungskraft in der Tech-Mobilitätsbranche ist Häberli eine inspirierende Role Model. Sie wird für ihre Risikobereitschaft und Innovationsfreude öffentlich gewürdigt und teilt ihr Wissen in Netzwerken und Gremien. Durch ihre Präsenz – etwa als Gewinnerin eines renommierten Unternehmerpreises – macht sie die Chancen der Mobilitätswende einem breiten Publikum sichtbar und motiviert andere, ähnliche Wege zu gehen."
22,Karel Dijkman,Gründer und Inhaber,Cargobee,https://www.linkedin.com/in/karel-dijkman-234303166/,www.cargobee.com,"Start-ups, Scale-ups & Katalysatoren","Überblick: Gründer & CEO von CargoBee (NL), neu interpretierter elektrischer Bakbrommer für städtische Lieferungen – emissionsfrei, kompakt, robust.
Mut & Pioniergeist: Entwickelte elektrisches Kleinfahrzeug lange vor Markttrend, investierte persönliche Mittel und Jahre Entwicklungszeit.
Innovationsgrad: Kombination klassischer Dreirad-Transportform mit E-Antrieb, modularen Aufbauten und Sicherheitsdesign.
Umsetzungskraft & Wirkung: Lokale Betriebe und Kommunen setzen CargoBee ein, ersetzt Lieferwagen in verkehrsberuhigten Zonen.
Relevanz/Vorbild: Praktische Lösung zur Reduzierung städtischer Emissionen, Vorbild für bodenständige, wirkungsvolle Innovation."
23,Katharina Kreutzer,CEO and Co-Founder,MOVN,https://www.linkedin.com/in/katharina-kreutzer/,https://www.muvn.de/,"Start-ups, Scale-ups & Katalysatoren","Katharina Kreutzer hat nach ihrem Erfolg mit einem Mehrweg-Versandverpackungs-Startup das Unternehmen Muvn mitgegründet. Mit Muvn will sie Leerfahrten im Straßenverkehr reduzieren, indem freie Ladeflächen in Privatfahrzeugen effizient genutzt werden. Die Plattform funktioniert wie eine Mitfahrzentrale – jedoch für Gegenstände. Fahrerinnen und Fahrer können geplante Fahrten einstellen und für andere deren Gegenstände transportieren, während Versender kostengünstig und nachhaltig verschicken können. Kreutzer treibt mit Muvn die Vision voran, ungenutzte Fahrzeugkapazitäten nutzbar zu machen und dadurch Verkehr sowie CO₂-Emissionen zu reduzieren. Ende 2024 soll die benutzerfreundliche App live gehen, inklusive sicherer Zahlungsabwicklung, Tracking und Verifizierung aller Nutzer und Fahrzeuge – ein innovativer Beitrag zur Sharing Economy im Transportsektor.

Mut & Pioniergeist: Kreutzer wagt sich mit Muvn in einen Marktbereich, der bislang kaum strukturiert erschlossen wurde, und zeigt unternehmerische Kreativität bei der Verknüpfung von Sharing Economy und Gütertransport.
Innovationsgrad: Muvn digitalisiert und strukturiert den spontanen Gütertransport zwischen Privatpersonen – ein bisher wenig genutztes Potenzial in der Mobilitätsbranche.
Umsetzungskraft & Wirkung: Mit klarer Roadmap und bereits funktionierendem Pilotansatz schafft Muvn die Basis für einen europaweiten Rollout.
Relevanz für die Mobilitätswende: Weniger Leerfahrten bedeuten weniger Emissionen, eine effizientere Nutzung bestehender Fahrzeuge und damit eine nachhaltigere Verkehrsinfrastruktur.
Vorbildfunktion & Sichtbarkeit: Kreutzer zeigt als Gründerin, wie man Nachhaltigkeit und Wirtschaftlichkeit im Transportsektor vereint und inspiriert damit andere, neue Nischen zu erschließen."
24,Kevin Löffelbein,Gründer & Geschäftsführer,nowaclean,https://www.linkedin.com/in/kevin-loeffelbein-174283145/,https://nowaclean.com/,"Start-ups, Scale-ups & Katalysatoren","Mut & Pioniergeist: Gründete mit nowaclean einen marktunüblichen, wasserlosen Reinigungsservice und überzeugte trotz anfänglicher Skepsis Flottenbetreiber und Großkunden.
Innovationsgrad: Eigenes Trockenreinigungsverfahren, mobile Teams (oft E‑Vans) und eine digitale Plattform mit Flotten‑Dashboard – Reinigung als skalierbarer CleanTech‑Service.
Umsetzungskraft & Wirkung: Rasche Expansion in mehrere Städte, tausende Reinigungen, nachweisliche Einsparungen von Wasser, CO₂ und Fahrkilometern; hoher Kundennutzen durch Vor‑Ort‑Service.
Relevanz für die Mobilitätswende: Senkt indirekte Emissionen in Betrieb & Pflege von Fahrzeugen, erhöht Effizienz von Sharing‑ und Unternehmensflotten und macht nachhaltige Mobilität ganzheitlicher.
Vorbildfunktion & Sichtbarkeit: Beispielhafter Gründer, der ein „Nebenthema“ der Mobilität mit Pragmatismus und Zweckorientierung skaliert; aktiver Impulsgeber in Fachforen."
25,Klaus Zellmer,CEO,Skoda,https://www.linkedin.com/in/klaus-zellmer-441b5b1b8/,https://www.skoda-auto.com/,Etablierte Unternehmen,"Überblick
Klaus Zellmer ist seit 2022 CEO von Škoda Auto und steuert die Marke erfolgreich durch die Transformation zur Elektromobilität. Unter seiner Führung erzielte Škoda 2023 Rekordgewinne und hohe Absatzwerte.

Mut & Pioniergeist
Er setzte trotz Krisen konsequent auf Elektroantriebe, führte ein neues Markenlogo ein und entschied, günstige E-Modelle im Sortiment zu behalten.

Innovationsgrad
Zellmer brachte neue E-Modelle wie den Elroq und plante mehrere weitere, setzte auf Recyclingmaterialien und digitale Dienste. Er erweiterte Škodas Marktpräsenz international.

Umsetzungskraft & Wirkung
Škoda erreichte unter seiner Leitung Bestwerte bei Rendite und Absatz. Der Elroq wurde zum meistverkauften E-Auto Europas kurz nach Markteinführung.

Relevanz für die Mobilitätswende
Zellmer fokussiert auf erschwingliche E-Mobilität, was für eine breite Marktumstellung entscheidend ist, und engagiert sich für bessere politische Rahmenbedingungen.

Vorbildfunktion & Sichtbarkeit
Er gilt als nahbarer, entscheidungsfreudiger Manager mit hoher Medienpräsenz und wird als Beispiel für erfolgreiche Transformation gesehen."
26,Léa Miggiano,Co-Founder & CMO,carvolution,https://www.linkedin.com/in/l%C3%A9a-miggiano/,https://www.carvolution.com/fr/magazine/jeune-entrepreneur-de-la-annee,"Start-ups, Scale-ups & Katalysatoren","Überblick: Mitgründerin & CMO; macht Auto‑Abo in der Schweiz massentauglich (Fixpreis inkl. Versicherung/Service) und senkt Einstiegshürden für E‑Autos.
Mut & Pioniergeist: Gründete jung in einer traditionellen, männlich geprägten Branche – und stellte Besitzlogik („ein Mensch, ein Auto“) in Frage.
Innovationsgrad: „Mobilität wie Streaming“: wenigen Klicks zum Auto, kurze Laufzeiten, transparente Kosten; treibt BEV/Hybrid‑Anteil über Abo‑Erlebnis.
Umsetzungskraft & Wirkung: Marktführerin CH, Finanzierungsrunden, Tausende Abos, Ausweitung auf KMU‑Flotten; hohe Kundenzufriedenheit/Markenbekanntheit.
Relevanz & Vorbild: Höhere Fahrzeugauslastung statt Mehrbesitz, schnellerer BEV‑Einstieg – praktischer Beitrag zum Modal‑ und Mindset‑Shift. Sichtbares Role Model (Forbes 30u30, Awards)."
27,Lukas Stranger,CEO,NXRT,https://www.linkedin.com/in/lukasstranger/,http://www.nxrt.io/,"Start-ups, Scale-ups & Katalysatoren","Lukas Stranger ist Mitgründer und CEO des Wiener Start-ups NXRT, das einen neuartigen Mixed-Reality-Fahrsimulator entwickelt hat. Im Gegensatz zu herkömmlichen Simulatoren nutzt NXRT echte Fahrzeuge und projiziert virtuelle Szenarien in die Windschutzscheibe, kombiniert mit immersiven VR-Elementen. Diese Lösung ermöglicht realitätsnahe Fahrertrainings und virtuelle Testfahrten, sogar für Extremsituationen, unter sicheren Bedingungen. NXRT konnte namhafte Kunden aus der Automobil- und Bahnbranche gewinnen und verfolgt das Ziel, weltweit führend bei immersiven Simulationslösungen zu werden.

Mut & Pioniergeist: Stranger hat früh erkannt, dass Mixed Reality eine völlig neue Dimension für Vertrieb, Training und Entwicklung in der Mobilität eröffnen kann, und den Schritt in einen komplexen B2B-Markt gewagt.
Innovationsgrad: Die Kombination von realem Fahrzeug und virtueller Umgebung schafft einzigartige Anwendungsfelder, die Kosten und Zeit für Trainings- und Entwicklungsprozesse erheblich reduzieren.
Umsetzungskraft & Wirkung: Innerhalb weniger Jahre hat NXRT internationale Großkunden gewonnen und das Team stark ausgebaut – ein Beweis für Marktakzeptanz und Umsetzungskraft.
Relevanz für die Mobilitätswende: Die Technologie beschleunigt die Einführung neuer Mobilitätslösungen, indem sie Tests und Schulungen ressourcenschonend und ortsunabhängig ermöglicht.
Vorbildfunktion & Sichtbarkeit: Stranger demonstriert, wie aus einer innovativen Idee ein exportfähiges Technologieprodukt entsteht, das global Beachtung findet."
28,Manuel Herzog,Managing Director & Country Manager Schweiz,TIER-Dott,https://www.linkedin.com/in/manuelherzog/,http://www.ridedott.com/,"Start-ups, Scale-ups & Katalysatoren","Überblick: Manuel Herzog verantwortet die Schweizer Aktivitäten von TIER-Dott, einem führenden Mikromobilitätsanbieter in Europa.
Mut & Pioniergeist: Er setzt sich dafür ein, dass Sharing-Angebote in Städten wie Zürich und Basel nachhaltig integriert werden, statt als Störfaktor zu wirken.
Innovationsgrad: Treibt Projekte zu fest installierten Abstellzonen, Batteriewechselstationen und multimodaler App-Integration voran.
Umsetzungskraft & Wirkung: Unter seiner Leitung expandierte TIER-Dott in der Schweiz erfolgreich und gewann langfristige Betriebslizenzen.
Relevanz für die Mobilitätswende: Fördert emissionsfreie Kurzstreckenmobilität und reduziert so innerstädtischen Autoverkehr.
Vorbildfunktion & Sichtbarkeit: Herzog gilt als pragmatischer Gestalter und ist in der Branche für seine kooperative Zusammenarbeit mit Städten bekannt."
29,Marc Schindler,CEO,Ottobahn,https://www.linkedin.com/in/marc-schindler-84378485/,https://ottobahn.global/,"Start-ups, Scale-ups & Katalysatoren","Mut & Pioniergeist: Verließ die klassische Auto‑/Beraterwelt, um ein neuartiges, schwebendes On‑Demand‑Transit­system zu bauen – trotz großer technischer und regulatorischer Hürden.
Innovationsgrad: Autonome Einzelkabinen auf Hochtrasse, KI‑Leitsystem, energiepositive Infrastruktur – ein „individualisierter ÖPNV“ zwischen Bahn, Seilbahn und Auto.
Umsetzungskraft & Wirkung: Finanzierung gesichert, Teststrecke im Aufbau, Prototypen fertig; starkes Städte‑ und Partnerinteresse, erste Studien und Kooperationen angelaufen.
Relevanz für die Mobilitätswende: Emissionsfrei, flächensparend und leise; entlastet Straßenraum, verbindet Stadt & Umland direkt und kann viele Pkw‑Fahrten ersetzen.
Vorbildfunktion & Sichtbarkeit: Sichtbarer Vordenker kühner Stadtverkehrslösungen; bringt Behörden, Industrie und Öffentlichkeit in den Dialog und macht große Visionen greifbar."
30,Matthias Ballweg,Co-Gründer & CEO,"Circular Republic, TU München",https://www.linkedin.com/in/matthias-ballweg/,https://www.unternehmertum.de/,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Matthias Ballweg ist Co-Gründer von Circular Republic und ehrenamtlicher Initiator des Münchner Bergbus. Mit Circular Republic baut er ein Netzwerk für Kreislaufwirtschaft-Innovationen auf, während der Bergbus klimafreundliche Freizeitmobilität ermöglicht.

Mut & Pioniergeist: Ballweg bringt Unternehmergeist und ehrenamtliches Engagement zusammen, um Mobilität neu zu denken.
Innovationsgrad: Der Bergbus schließt eine Lücke im Freizeitverkehr, Circular Republic vernetzt Akteure der Circular Economy.
Umsetzungskraft & Wirkung: Beide Projekte sind erfolgreich etabliert und erzielen messbare Effekte.
Relevanz für die Mobilitätswende: Freizeit- und Alltagsmobilität werden gleichermaßen adressiert.
Vorbildfunktion & Sichtbarkeit: Ballweg zeigt, wie man privat und beruflich für nachhaltige Mobilität wirken kann."
31,Michael Klasa ,Head of Mobility @ Swisscom | Passion for (Corporate) Mobility | Smart Mobility Management @ HSG,Swisscom,https://www.linkedin.com/in/klasa/,www.swisscom.ch,Etablierte Unternehmen,"Überblick: Head of Mobility bei Swisscom, treibt die vollständige Elektrifizierung der Unternehmensflotte voran. Entwickelte zuvor Infrastrukturprojekte bei Cablex.
Mut & Pioniergeist: Setzte auf E-Flotte, als diese noch als Risiko galt, und überzeugte interne Stakeholder. Führte Pilotprojekte mit neuen Lade- und Telematiksystemen durch.
Innovationsgrad: Implementierte integrierte Ladeinfrastruktur mit automatisierter Abrechnung, kombinierte E-Fahrzeuge mit datenbasiertem Flottenmanagement.
Umsetzungskraft & Wirkung: Reduzierte CO₂-Ausstoß der Flotte deutlich, installierte Ladepunkte, schulte Nutzer. Swisscom gilt als Best-Practice-Beispiel in der Schweiz.
Relevanz/Vorbild: Firmenflotten als Hebel der Mobilitätswende genutzt, sichtbar als Experte auf Fachforen, Vorbild für Unternehmensmobilität."
32,Nic Knapp,Managing Director,TUM Venture Labs,https://www.linkedin.com/in/nicknapp/,https://www.tum-venture-labs.de/,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Überblick: Managing Director des TUM Venture Labs Mobility, fördert Start-ups von autonomen Shuttles bis E-Fluggeräten. Verbindet Industrieerfahrung mit Hochschulinnovation.
Mut & Pioniergeist: Wechsel aus Konzern in die Startup-Förderung, ermutigt Gründer zu ambitionierten, risikoreichen Projekten.
Innovationsgrad: Unterstützt disruptive Technologien wie KI im Fahrzeug, neue Batteriesysteme und softwaredefinierte Fahrzeuge; enge Anbindung an TUM-Spitzenforschung.
Umsetzungskraft & Wirkung: Zahlreiche Start-ups finden Investoren oder gehen mit marktreifen Lösungen an den Start; Venture Lab als europäisches Best-Practice-Modell.
Relevanz/Vorbild: Beschleunigt Transfer klimafreundlicher Innovationen, Vorbild für kooperative Startup-Förderung, präsent in Jury- und Netzwerkformaten."
33,Olga Nevska,CEO,Telekom,https://www.linkedin.com/in/olganevska-transformation-digitalization-stratetgy-leadership-innovation-ceo-managingdirector/,https://www.telekom-mobilitysolutions.de/,Etablierte Unternehmen,"Überblick
Olga Nevska ist Geschäftsführerin von Telekom MobilitySolutions und treibt die Mobilitätswende im Unternehmensbereich voran. Sie verantwortet Deutschlands zweitgrößte Firmenflotte und wandelt sie zu einem vielseitigen Mobilitätsanbieter.

Mut & Pioniergeist
Sie stellte die Car Policy konsequent auf Elektrofahrzeuge um und schaffte attraktive Alternativen zum Dienstwagen. Ihr kulturelles Engagement, etwa für Frauenförderung, unterstreicht ihren Mut.

Innovationsgrad
Unter ihrer Leitung entstand die App „goodride“, die Mobilitätsdienste bündelt. Sie etablierte Carsharing, Shuttle-Services und Dienstrad-Leasing im Konzern.

Umsetzungskraft & Wirkung
Ein großer Teil der Flotte ist inzwischen elektrisch, die Nutzung von ÖPNV- und Fahrradangeboten stieg deutlich. Die CO₂-Bilanz des Unternehmens verbessert sich nachhaltig.

Relevanz für die Mobilitätswende
Nevska zeigt, wie Unternehmen entscheidend zur Verkehrswende beitragen können. Ihr Modell ist übertragbar und bietet Potenzial für breite Umsetzung.

Vorbildfunktion & Sichtbarkeit
Als Top-Managerin mit Migrationshintergrund und Förderin von Diversität ist sie eine inspirierende Führungsfigur. Sie tritt regelmäßig als Expertin in Fachkreisen auf und motiviert andere, nachhaltige Mobilität umzusetzen."
34,Oliver Blume,CEO,Volkswagen,Kein LinkedIn,https://www.volkswagen-group.com/en/executive-bodies-15790#,Etablierte Unternehmen,"Überblick: Vorstandsvorsitzender von VW; treibt Konzern‑Transformation zu elektrischer, digitaler Mobilität (Fahrzeuge, Software, Batterien, Lade‑Ökosystem).
Mut & Pioniergeist: Klare Festlegung auf BEV‑Pfad, Kurskorrekturen wie Trinity‑Neuaufstellung; pragmatischer, entschlossener Führungsstil.
Innovationsgrad: Breite E‑Modellpalette (vom ID.3 bis Taycan), Software‑defined Vehicle, Zellfabriken/Recycling, neue Dienste (Carsharing/Abo, Laden).
Umsetzungskraft & Wirkung: Hunderttausende BEV/Jahr, ID. Buzz‑Launch, Cariad‑Reform, Finanzierungskraft durch Porsche‑IPO; Effizienzprogramme fokussieren Investitionen.
Relevanz & Vorbild: Entscheidungen haben globale Hebelwirkung entlang der Lieferkette; verbindet Industrie und Politik – Orientierungspunkt der Mobilitätswende."
35,Oliver May-Beckmann,Managing Director MCube @ TUM - Munich Cluster for the Future of Mobility | Nachhaltige Mobilitätsinnovationen,MCUBE,https://www.linkedin.com/in/olivermaybeckmann/,https://www.mcube-cluster.de/en/,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Überblick: Geschäftsführer des Zukunftsclusters MCube in München, koordiniert über 50 Partner aus Forschung, Wirtschaft und Verwaltung für urbane Mobilitätsinnovationen.
Mut & Pioniergeist: Setzt auf Reallabore statt Theorie, probiert unkonventionelle Lösungen aus, etabliert Kultur des „Trial and Error“.
Innovationsgrad: Fördert systemübergreifende Projekte – von Stadtgestaltung bis neuen Bewertungsmethoden für Verkehrsinvestitionen – mit interdisziplinärer Forschung.
Umsetzungskraft & Wirkung: Startete zahlreiche Pilotprojekte, deren Ergebnisse in städtische Planungen einfließen; München wird als Labor der Mobilitätswende wahrgenommen.
Relevanz/Vorbild: Modellcharakter für andere Städte, Brückenbauer zwischen Wissenschaft und Praxis, sichtbarer Botschafter für urbane Verkehrswende."
36,Oliver Zipse,CEO,BMW,Kein LinkedIn,https://www.bmwgroup.com/de/unternehmen/unternehmensfuehrung.html,Etablierte Unternehmen,"Überblick: Oliver Zipse führt BMW seit 2019 und verantwortet den strategischen Wandel des Unternehmens zu einer technologieoffenen, nachhaltigen Premiummarke.
Mut & Pioniergeist: Zipse verfolgt eine technologieoffene Strategie, die neben vollelektrischen Modellen auch Wasserstoff- und effiziente Verbrenner berücksichtigt – ein Weg, der in einer von reiner E-Mobilität geprägten Debatte kontrovers ist.
Innovationsgrad: Unter seiner Führung brachte BMW neue Elektro-Modelle wie den iX, i4 und i7 auf den Markt und entwickelte die flexible ""Neue Klasse""-Plattform, die ab 2025 alle Antriebsarten bedienen kann.
Umsetzungskraft & Wirkung: BMW steigerte trotz globaler Krisen Absatz und Gewinn und erreichte hohe E-Auto-Zuwachsraten.
Relevanz für die Mobilitätswende: Zipse gestaltet den Transformationskurs einer der weltweit größten Automobilmarken mit und prägt damit den globalen Fahrzeugmarkt.
Vorbildfunktion & Sichtbarkeit: Er ist in der internationalen Automobilpolitik präsent und tritt regelmäßig als Redner zu Zukunftsthemen der Mobilität auf."
37,Prof. Dr. Uwe Schneidewind ,Oberbürgermeister,Stadt Wuppertal,https://www.linkedin.com/in/uwe-schneidewind-86b86520/,https://www.wuppertal.de/microsite/Oberbuergermeister/zuperson/uwe-schneidewind.php,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Mut & Pioniergeist: Als Quereinsteiger aus der Wissenschaft übernahm Schneidewind das Amt des Wuppertaler Oberbürgermeisters, um seine Vision einer nachhaltigen Stadt umzusetzen. Ohne sichere Ratsmehrheit trieb er mutig auch kontroverse Projekte voran, wie die Autofreiheit an sensiblen Orten.

Innovationsgrad: Er bricht mit klassischen Verwaltungsmustern und setzt auf agile Pilotprojekte statt langer Masterpläne. Diese kleinen Maßnahmen mit Signalwirkung sind in der Kommunalpolitik selten und dienen anderen Städten als Vorbild.

Umsetzungskraft & Wirkung: Trotz Widerständen realisierte er blockierte Projekte, u. a. die dauerhafte Umwandlung von Teilen der Friedrich-Ebert-Straße in eine Fußgängerzone. Solche sichtbaren Erfolge erhöhen die Akzeptanz und stoßen Folgeprojekte an.

Relevanz für die Mobilitätswende: Seine Verkehrsberuhigungen und Radverkehrsförderung verbessern die urbane Mobilität und leisten Klimaschutzbeiträge. Das Konzept „25 für 25“ zeigt, wie große Transformationen in machbare Schritte zerlegt werden können.

Vorbildfunktion & Sichtbarkeit: Schneidewind verbindet wissenschaftliche Expertise mit praktischer Politik. Seine Bürgernähe, sein gelebter Nachhaltigkeitsstil und seine öffentliche Präsenz machen ihn zu einem Vorbild für moderne Stadtführung."
38,Rönke von der Heide,CÖÖ Chief Öperation Öfficer,Zukunft Nahverkehr,https://www.linkedin.com/in/r%C3%B6nke-von-der-heide-a8066133/,https://www.zukunftnahverkehr.de/,"Governance & Verwaltungen, Politik, öffentliche Unternehmen","Rönke von der Heide ist Mitinitiator der Brancheninitiative „Zukunft Nahverkehr“, die den ÖPNV stärker ins öffentliche Bewusstsein rücken will.

Mut & Pioniergeist: Er setzt auf kreative, partizipative Formate, um neue Zielgruppen für den ÖPNV zu begeistern.
Innovationsgrad: Die Initiative verbindet Kommunikation, Vernetzung und strategische Impulse für den Nahverkehr.
Umsetzungskraft & Wirkung: Zahlreiche Veranstaltungen und Projekte zeigen die Tragfähigkeit der Idee.
Relevanz für die Mobilitätswende: Eine starke Nahverkehrsmarke ist essenziell für den Umstieg vom Auto.
Vorbildfunktion & Sichtbarkeit: Von der Heide inspiriert als kreativer Netzwerker und Brückenbauer zwischen Akteuren."
39,Roy Uhlmann,CEO,Motor Ai,https://www.linkedin.com/in/royuhlmann/,https://www.motor-ai.com/,"Start-ups, Scale-ups & Katalysatoren","Überblick: Mitgründer & CEO von Motor Ai (Berlin), entwickelt zertifizierbare Level-4-Autopilotsysteme mit erklärbarer KI-Architektur für autonomes Fahren.
Mut & Pioniergeist: Tritt gegen Tech-Giganten an, setzt auf neurowissenschaftlich inspirierte, transparente KI statt rein datengetriebenen Ansätzen.
Innovationsgrad: Active-Inference-Architektur ermöglicht verlässliche Entscheidungen in neuen Szenarien, zertifizierbar nach EU-Standards.
Umsetzungskraft & Wirkung: Betriebsgenehmigung für Testbetrieb in deutschen Städten, erste Serienreife in Sicht, stärkt europäischen Technologiestandort.
Relevanz/Vorbild: Fördert sichere, akzeptierte autonome Mobilität, stärkt technologische Souveränität, Vorbild für mutige Deep-Tech-Gründer."
40,Sarah Fleischer,Co-Founder and CEO,ToZero,https://www.linkedin.com/in/sarahfleischer/,https://www.tozero.solutions/,"Start-ups, Scale-ups & Katalysatoren","Sarah Fleischer ist Mitgründerin und CEO von ToZero, einem Startup für das Recycling von Lithium-Ionen-Batterien. Das Unternehmen hat ein Verfahren entwickelt, um kritische Rohstoffe vollständig zurückzugewinnen und in den Produktionskreislauf zurückzuführen. Die erste Pilotanlage produziert bereits recyceltes Lithium für europäische Kunden, mit deutlich geringerem CO₂-Ausstoß als konventionelle Gewinnung.

Mut & Pioniergeist: Fleischer geht mit einem tieftechnologischen Startup in einen stark regulierten und kapitalintensiven Bereich – ein klares Zeichen für Risikobereitschaft.
Innovationsgrad: Das Verfahren ermöglicht eine nahezu vollständige Rückgewinnung wichtiger Batterierohstoffe und reduziert den CO₂-Fußabdruck erheblich.
Umsetzungskraft & Wirkung: Mit funktionierender Pilotanlage, ersten Kundenlieferungen und erfolgreicher Finanzierung zeigt ToZero, dass Kreislaufwirtschaft in großem Maßstab umsetzbar ist.
Relevanz für die Mobilitätswende: Nachhaltige Batterien sind essenziell für die Dekarbonisierung des Verkehrs.
Vorbildfunktion & Sichtbarkeit: Fleischer inspiriert als Gründerin im Cleantech-Bereich und als Treiberin einer wichtigen Schlüsseltechnologie."
41,Sascha Meyer ,CEO,MOIA ,https://www.linkedin.com/in/sasmeyer/,https://www.moia.io/en/,Etablierte Unternehmen,"Überblick
Sascha Meyer ist CEO von MOIA, einem vollelektrischen Ridepooling-Dienst in Hamburg und Hannover. Er war maßgeblich am Aufbau der digitalen Plattform und der Flotte beteiligt und führt das Unternehmen nun in Richtung autonomes Fahren.

Mut & Pioniergeist
Er setzte früh auf Elektroantrieb, als dies noch riskant war, und entwickelte eigene Softwarelösungen, statt auf externe Anbieter zu setzen. Die Expansion nach Hamburg war ein mutiger Schritt, der sich auszahlte.

Innovationsgrad
MOIA bietet eine vollständig integrierte Ridepooling-Plattform mit Spezialfahrzeugen, die barrierearm und emissionsfrei sind. Das Public-Private-Partnership-Modell mit der Stadt Hamburg gilt als innovativ und vorbildlich.

Umsetzungskraft & Wirkung
MOIA beförderte über sechs Millionen Fahrgäste und ist fester Bestandteil des Hamburger Verkehrsangebots. Es hat den motorisierten Individualverkehr reduziert und die Kundenzufriedenheit gesteigert.

Relevanz für die Mobilitätswende
MOIA schließt Lücken im ÖPNV und bietet eine umweltfreundliche Alternative zum Privat-PKW. Es ist zudem Vorreiter im autonomen Ridepooling.

Vorbildfunktion & Sichtbarkeit
Meyer wird als moderner Manager gesehen, der Start-up-Mentalität mit Konzernstrukturen verbindet. Er ist präsent auf Konferenzen und ein Vorbild für innovative Führung."
42,Sebastian Tanzer,CEO & Co-Founder,Triply,https://www.linkedin.com/in/sebastiantanzer/,http://triply.net/,"Start-ups, Scale-ups & Katalysatoren","Mut & Pioniergeist: Gründete mit 19 ein B2B‑SaaS‑Start‑up für betriebliche Mobilität und setzte früh auf Data‑Science‑Ansätze in einem analog geprägten Feld.
Innovationsgrad: Plattform zur Analyse von Pendel‑ und Dienstreisemustern; Simulationen, CO₂‑Bilanzierung und Handlungsempfehlungen für Firmen und Kommunen.
Umsetzungskraft & Wirkung: Einsatz bei vielen Organisationen in mehreren Ländern; messbare Einsparpotenziale und umgesetzte Maßnahmen wie Werksbusse, Car‑/Bike‑Programme.
Relevanz für die Mobilitätswende: Macht „versteckte“ Pendel‑Emissionen sichtbar und planbar; liefert Datengrundlage für weniger Autoverkehr und bessere ÖV‑/Sharing‑Angebote – auch im ländlichen Raum.
Vorbildfunktion & Sichtbarkeit: Repräsentiert eine junge, wirkungsorientierte Gründer­generation; gefragter Sprecher an der Schnittstelle von Digitalisierung und Nachhaltigkeit."
43,Stephan Obwegeser,Leiter e-Mikromobilität,Touring Club Schweiz (TCS),https://www.linkedin.com/in/obwegeser/,http://www.tcs.ch/,Etablierte Unternehmen,"Überblick: Stephan Obwegeser leitet beim TCS die Entwicklung neuer Mikromobilitätsangebote.
Mut & Pioniergeist: Er treibt die Integration von E-Tretrollern, E-Bikes und Sharing-Angeboten in bestehende Verkehrssysteme der Schweiz voran.
Innovationsgrad: Entwickelt Standards für Sicherheit, Nutzerfreundlichkeit und Infrastruktur bei Mikromobilität.
Umsetzungskraft & Wirkung: Seine Projekte verbessern die Erreichbarkeit von ÖPNV-Haltestellen und reduzieren Kurzstreckenfahrten mit dem Auto.
Relevanz für die Mobilitätswende: Mikromobilität ist ein entscheidender Hebel für weniger Autoverkehr – Obwegeser setzt hier Maßstäbe.
Vorbildfunktion & Sichtbarkeit: Er ist in der Schweizer Mobilitätsszene gut vernetzt und spricht regelmäßig auf Fachveranstaltungen."
